1_001{1}	
2θ, °	Intensity, counts
24.6000003814697	52.1200675964355
24.6200008392334	46.5237808227539
24.6399993896484	51.9834060668945
24.6599998474121	40.0199241638184
24.6800003051758	32.9730949401855
24.7000007629395	39.5736236572266
24.7199993133545	51.4517784118652
24.7399997711182	34.9292373657227
24.7600002288818	35.3493499755859
24.7800006866455	34.6695442199707
24.7999992370605	16.3858318328857
24.8199996948242	22.7211246490479
24.8400001525879	21.8162403106689
24.8600006103516	34.713981628418
24.8799991607666	32.7290344238281
24.8999996185303	31.5474662780762
24.9200000762939	29.4683780670166
24.9400005340576	39.3788719177246
24.9599990844727	47.3018341064453
24.9799995422363	25.2402820587158
25	34.5748481750488
25.0200004577637	39.0413131713867
25.0400009155273	15.1260986328125
25.0599994659424	31.8459510803223
25.0799999237061	24.3679485321045
25.1000003814697	28.9964962005615
25.1200008392334	27.890380859375
25.1399993896484	36.6423683166504
25.1599998474121	50.6427536010742
25.1800003051758	32.6750373840332
25.2000007629395	10.3928604125977
25.2199993133545	24.1064834594727
25.2399997711182	23.9171733856201
25.2600002288818	37.8888931274414
25.2800006866455	32.8376998901367
25.2999992370605	24.2862739562988
25.3199996948242	16.5234527587891
25.3400001525879	44.9502067565918
25.3600006103516	48.0887680053711
25.3799991607666	19.6887989044189
25.3999996185303	30.2925243377686
25.4200000762939	36.3906784057617
25.4400005340576	46.6049385070801
25.4599990844727	36.560489654541
25.4799995422363	29.7703342437744
25.5	26.2338924407959
25.5200004577637	43.8222885131836
25.5400009155273	32.2122268676758
25.5599994659424	29.9389152526855
25.5799999237061	45.489429473877
25.6000003814697	29.8936195373535
25.6200008392334	20.2009811401367
25.6399993896484	41.7108116149902
25.6599998474121	42.3390693664551
25.6800003051758	30.2970123291016
25.7000007629395	32.9984664916992
25.7199993133545	23.8664379119873
25.7399997711182	28.7051887512207
25.7600002288818	39.767463684082
25.7800006866455	24.1840744018555
25.7999992370605	27.6905784606934
25.8199996948242	31.8515224456787
25.8400001525879	40.4339714050293
25.8600006103516	27.5669956207275
25.8799991607666	33.4376220703125
25.8999996185303	34.692512512207
25.9200000762939	31.2835693359375
25.9400005340576	37.3450584411621
25.9599990844727	29.8929386138916
25.9799995422363	19.9872646331787
26	38.9516677856445
26.0200004577637	38.8802452087402
26.0400009155273	27.7957286834717
26.0599994659424	40.7130126953125
26.0799999237061	47.1028175354004
26.1000003814697	19.7330226898193
26.1200008392334	30.5553112030029
26.1399993896484	35.672550201416
26.1599998474121	27.2173728942871
26.1800003051758	43.4220008850098
26.2000007629395	28.6508369445801
26.2199993133545	25.9855403900146
26.2399997711182	18.9050045013428
26.2600002288818	37.4267349243164
26.2800006866455	20.2966365814209
26.2999992370605	27.55397605896
26.3199996948242	30.8567733764648
26.3400001525879	29.9060153961182
26.3600006103516	35.9530296325684
26.3799991607666	30.4186573028564
26.3999996185303	49.267749786377
26.4200000762939	15.4054803848267
26.4400005340576	21.2769107818604
26.4599990844727	26.0429286956787
26.4799995422363	27.0905475616455
26.5	28.7068881988525
26.5200004577637	25.3864765167236
26.5400009155273	33.6134300231934
26.5599994659424	31.13796043396
26.5799999237061	47.0448570251465
26.6000003814697	18.8837013244629
26.6200008392334	40.5161323547363
26.6399993896484	32.0715026855469
26.6599998474121	28.4765491485596
26.6800003051758	22.5162372589111
26.7000007629395	35.3435935974121
26.7199993133545	28.5009441375732
26.7399997711182	20.2966251373291
26.7600002288818	19.223762512207
26.7800006866455	27.3442649841309
26.7999992370605	10.8814134597778
26.8199996948242	34.6925659179688
26.8400001525879	25.5601806640625
26.8600006103516	21.8986263275146
26.8799991607666	28.4201736450195
26.8999996185303	14.7119913101196
26.9200000762939	28.8379306793213
26.9400005340576	26.9016437530518
26.9599990844727	17.8878402709961
26.9799995422363	37.8306465148926
27	16.169605255127
27.0200004577637	35.9920883178711
27.0400009155273	15.8346977233887
27.0599994659424	32.2819862365723
27.0799999237061	46.3656005859375
27.1000003814697	33.9272117614746
27.1200008392334	29.8633079528809
27.1399993896484	33.805965423584
27.1599998474121	32.8072128295898
27.1800003051758	41.72705078125
27.2000007629395	33.9309692382813
27.2199993133545	36.8160095214844
27.2399997711182	36.679370880127
27.2600002288818	13.6423282623291
